Code,Area,Year,Fuel,Sector,Measurement,Value
E09000028,Southwark,2012,Coal,Total,Ktoe ,0.090499746
E09000029,Sutton,2012,Coal,Total,Ktoe ,0.20557282
E09000030,Tower Hamlets,2012,Coal,Total,Ktoe ,0.096176484
E09000031,Waltham Forest,2012,Coal,Total,Ktoe ,0.139412023
E09000032,Wandsworth,2012,Coal,Total,Ktoe ,0.06995238
E09000033,Westminster,2012,Coal,Total,Ktoe ,0.111523351
E09000002,Barking and Dagenham,2013,Coal,Total,Ktoe ,0.294280722
E09000003,Barnet,2013,Coal,Total,Ktoe ,0.162247945
E09000004,Bexley,2013,Coal,Total,Ktoe ,0.170032498
E09000005,Brent,2013,Coal,Total,Ktoe ,0.094691198
E09000006,Bromley,2013,Coal,Total,Ktoe ,0.317607559
E09000007,Camden,2013,Coal,Total,Ktoe ,0.085303662
E09000001,City of London,2013,Coal,Total,Ktoe ,0
E09000008,Croydon,2013,Coal,Total,Ktoe ,0.342744532
E09000009,Ealing,2013,Coal,Total,Ktoe ,0.397506083
E09000010,Enfield,2013,Coal,Total,Ktoe ,0.228687055
E09000011,Greenwich,2013,Coal,Total,Ktoe ,0.153724388
E09000012,Hackney,2013,Coal,Total,Ktoe ,0.123050078
E09000013,Hammersmith and Fulham,2013,Coal,Total,Ktoe ,0.039113277
E09000014,Haringey,2013,Coal,Total,Ktoe ,0.142661282
E09000015,Harrow,2013,Coal,Total,Ktoe ,0.1044778
E09000016,Havering,2013,Coal,Total,Ktoe ,0.517983462
E09000017,Hillingdon,2013,Coal,Total,Ktoe ,0.369654187
E09000018,Hounslow,2013,Coal,Total,Ktoe ,0.220331327
E09000019,Islington,2013,Coal,Total,Ktoe ,0.07677098
E09000020,Kensington and Chelsea,2013,Coal,Total,Ktoe ,0.07904767
E09000021,Kingston upon Thames,2013,Coal,Total,Ktoe ,0.145025604
E09000022,Lambeth,2013,Coal,Total,Ktoe ,0.117741871
E09000023,Lewisham,2013,Coal,Total,Ktoe ,0.162222026
E09000024,Merton,2013,Coal,Total,Ktoe ,0.092306858
E09000025,Newham,2013,Coal,Total,Ktoe ,0.162023161
E09000026,Redbridge,2013,Coal,Total,Ktoe ,0.155781517
E09000027,Richmond upon Thames,2013,Coal,Total,Ktoe ,0.17319134
E09000028,Southwark,2013,Coal,Total,Ktoe ,0.112999035
E09000029,Sutton,2013,Coal,Total,Ktoe ,0.254133592
E09000030,Tower Hamlets,2013,Coal,Total,Ktoe ,0.119040456
E09000031,Waltham Forest,2013,Coal,Total,Ktoe ,0.176545977
E09000032,Wandsworth,2013,Coal,Total,Ktoe ,0.08858498
E09000033,Westminster,2013,Coal,Total,Ktoe ,0.138016181
E09000002,Barking and Dagenham,2014,Coal,Total,Ktoe ,0.22234177
E09000003,Barnet,2014,Coal,Total,Ktoe ,0.129066536
E09000004,Bexley,2014,Coal,Total,Ktoe ,0.13556493
E09000005,Brent,2014,Coal,Total,Ktoe ,0.075406392
E09000006,Bromley,2014,Coal,Total,Ktoe ,0.256018995
E09000007,Camden,2014,Coal,Total,Ktoe ,0.06793072
E09000001,City of London,2014,Coal,Total,Ktoe ,0
E09000008,Croydon,2014,Coal,Total,Ktoe ,0.279115783
E09000009,Ealing,2014,Coal,Total,Ktoe ,0.216073189
E09000010,Enfield,2014,Coal,Total,Ktoe ,0.181560667
E09000011,Greenwich,2014,Coal,Total,Ktoe ,0.122002892
E09000012,Hackney,2014,Coal,Total,Ktoe ,0.096747729
E09000013,Hammersmith and Fulham,2014,Coal,Total,Ktoe ,0.031147468
E09000014,Haringey,2014,Coal,Total,Ktoe ,0.109190982
E09000015,Harrow,2014,Coal,Total,Ktoe ,0.082516432
E09000016,Havering,2014,Coal,Total,Ktoe ,0.416478832
E09000017,Hillingdon,2014,Coal,Total,Ktoe ,0.312187712
E09000018,Hounslow,2014,Coal,Total,Ktoe ,0.173112704
E09000019,Islington,2014,Coal,Total,Ktoe ,0.060445819
E09000020,Kensington and Chelsea,2014,Coal,Total,Ktoe ,0.062534833
E09000021,Kingston upon Thames,2014,Coal,Total,Ktoe ,0.1152137
E09000022,Lambeth,2014,Coal,Total,Ktoe ,0.093762565
E09000023,Lewisham,2014,Coal,Total,Ktoe ,0.129183893
E09000024,Merton,2014,Coal,Total,Ktoe ,0.073507646
E09000025,Newham,2014,Coal,Total,Ktoe ,0.129025529
E09000026,Redbridge,2014,Coal,Total,Ktoe ,0.123917061
E09000027,Richmond upon Thames,2014,Coal,Total,Ktoe ,0.137919197
E09000028,Southwark,2014,Coal,Total,Ktoe ,0.089019675
E09000029,Sutton,2014,Coal,Total,Ktoe ,0.19865083
E09000030,Tower Hamlets,2014,Coal,Total,Ktoe ,0.093140715
E09000031,Waltham Forest,2014,Coal,Total,Ktoe ,0.140590628
E09000032,Wandsworth,2014,Coal,Total,Ktoe ,0.070543765
E09000033,Westminster,2014,Coal,Total,Ktoe ,0.10797585
E09000002,Barking and Dagenham,2015,Coal,Total,Ktoe ,0.21871185
E09000003,Barnet,2015,Coal,Total,Ktoe ,0.12815504
E09000004,Bexley,2015,Coal,Total,Ktoe ,0.174485394
E09000005,Brent,2015,Coal,Total,Ktoe ,0.091129391
E09000006,Bromley,2015,Coal,Total,Ktoe ,0.178688836
E09000007,Camden,2015,Coal,Total,Ktoe ,0.032350731
E09000001,City of London,2015,Coal,Total,Ktoe ,0.00011382
E09000008,Croydon,2015,Coal,Total,Ktoe ,0.244687633
E09000009,Ealing,2015,Coal,Total,Ktoe ,0.158993209
E09000010,Enfield,2015,Coal,Total,Ktoe ,0.176619509
E09000011,Greenwich,2015,Coal,Total,Ktoe ,0.13128673
E09000012,Hackney,2015,Coal,Total,Ktoe ,0.060599505
E09000013,Hammersmith and Fulham,2015,Coal,Total,Ktoe ,0.048359921
E09000014,Haringey,2015,Coal,Total,Ktoe ,0.128919792
